Type,ID,Username,Display,Creation,Image,Notes,Verified,Private
Standard,783214,Twitter,Twitter,Feb 2007,Twitter,,TRUE,FALSE
Standard,6253282,TwitterAPI,Twitter API,May 2007,TwitterAPI,,TRUE,FALSE
Standard,6844292,TwitterEng,Twitter Engineering,Jun 2007,Twitter,,TRUE,FALSE
Standard,17874544,TwitterSupport,Twitter Support,Dec 2008,Twitter,,TRUE,FALSE
Standard,87532773,TwitterDesign,Twitter Design,Nov 2009,Twitter,,TRUE,FALSE
Standard,95731075,TwitterSafety,Twitter Safety,Dec 2009,Twitter,,TRUE,FALSE
Standard,109184306,TwitterCareers,Twitter Careers,Jan 2010,TwitterCareers,,TRUE,FALSE
Standard,121291606,TwitterBusiness,Twitter Business,Mar 2010,Twitter,,TRUE,FALSE
Standard,130649891,TwitterLive,Twitter Live,Apr 2010,Twitter,,TRUE,FALSE
Standard,172442947,TwitterU,Early Career at Twitter,Jul 2010,Twitter,Internships and early careers,TRUE,FALSE
Standard,178111058,TwitterFashion,Twitter Fashion,Aug 2010,Twitter,,TRUE,FALSE
Standard,222953824,TwitterGov,TwitterGov,Dec 2010,Twitter,Politics,TRUE,FALSE
Standard,234489024,TwitterComms,Twitter Comms,Jan 2011,Twitter,,TRUE,FALSE
Standard,300392950,TwitterSports,Twitter Sports,May 2011,TwitterSports,,TRUE,FALSE
Standard,338604482,TwitterOpen,Twitter Open,Jul 2011,TwitterOpen,,TRUE,FALSE
Standard,357750891,TwitterMktg,Twitter Marketing,Aug 2011,Twitter,,TRUE,FALSE
Standard,373471064,TwitterMusic,Twitter Music,Sep 2011,TwitterMusic,,TRUE,FALSE
Standard,376825877,TwitterOSS,Twitter Open Source,Sep 2011,Twitter,,TRUE,FALSE
Standard,372575989,TwitterNews,Twitter News,Sep 2011,Twitter,,TRUE,FALSE
Standard,425468509,TwitterIO,Twitter Reliability,Nov 2011,TwitterIO,Reliability Engineering,FALSE,FALSE
Standard,414869890,TwitterFaith,Twitter Faith,Nov 2011,TwitterFaith,,TRUE,FALSE
Standard,427475002,TwitterBooks,Twitter Books,Dec 2011,Twitter,,TRUE,FALSE
Standard,436266454,TwitterMovies,Twitter Movies,Dec 2011,TwitterMovies,,TRUE,FALSE
Standard,544524144,TwitterResearch,Twitter Research,Apr 2012,Twitter,,TRUE,FALSE
Standard,586198217,TwitterTV,Twitter TV,May 2012,TwitterTV,,TRUE,FALSE
Standard,726960710,TwitterMedia,Twitter Media,Jul 2012,Twitter,,TRUE,FALSE
Standard,628899279,TwitterSurveys,Twitter Surveys,Jul 2012,Twitter,Brand surveys,TRUE,FALSE
Standard,905409822,TwitterSRE,Twitter SRE,Oct 2012,Twitter,Site Reliability Engineering,TRUE,FALSE
Standard,1117573164,TwitterHadoop,Hadoop @Twitter,Jan 2013,TwitterHadoop,Hadoop team,TRUE,FALSE
Standard,1137751093,twittersecurity,Twitter Security,Jan 2013,Twitter,Security team,TRUE,FALSE
Standard,1287248143,TwitterREW,Twitter REW,Mar 2013,Twitter,Real Estate Works,TRUE,FALSE
Standard,1347677268,TwitterNotify,Twitter Notify,Apr 2013,Twitter,,TRUE,FALSE
Standard,1526228120,TwitterData,Twitter Data,Jun 2013,Twitter,,TRUE,FALSE
Standard,1631299117,TwitterA11y,Twitter Accessibility,Jul 2013,Twitter,,TRUE,FALSE
Standard,1603818258,TwitterIR,Twitter Investor Relations,Jul 2013,Twitter,,TRUE,FALSE
Standard,1884191208,TwitterForGood,Twitter For Good,Sep 2013,Twitter,Twitter's social impact,TRUE,FALSE
Standard,2244994945,TwitterDev,Twitter Dev,Dec 2013,TwitterAPI,Dev team,TRUE,FALSE
Standard,2328002822,TwitterWomen,Twitter Women,Feb 2014,TwitterWomen,,TRUE,FALSE
Standard,2548979088,TwitterAlas,Twitter Alas,Jun 2014,TwitterAlas,Twitter's Latinos' Business Resource Group,TRUE,FALSE
Standard,2835589679,TwitterStudio,Twitter Studio,Oct 2014,Twitter,Internal events,TRUE,TRUE
Standard,3015271772,TwitterFood,Twitter Food,Feb 2015,Twitter,,TRUE,FALSE
Standard,3015301350,TwitterStage,Twitter Stage,Feb 2015,Twitter,Theater,TRUE,FALSE
Standard,3260518932,TwitterMoments,Twitter Moments,Jun 2015,Twitter,,TRUE,FALSE
Standard,3282859598,TwitterCreators,Twitter Creators,Jul 2015,TwitterCreators,,TRUE,FALSE
Standard,3873936134,TwitterGaming,Twitter Gaming,Oct 2015,TwitterGaming,,TRUE,FALSE
Standard,738117623737552896,TwitterParents,Twitter Parents,Jun 2016,TwitterParents,,TRUE,FALSE
Standard,738118115595165697,TwitterStripes,Twitter Stripes,Jun 2016,TwitterStripes,Military,TRUE,FALSE
Standard,738118487122419712,TwitterAsians,Twitter Asians,Jun 2016,TwitterAsians,Asians,TRUE,FALSE
Standard,773578328498372608,TwitterTogether,Twitter Together,Sep 2016,TwitterTogether,Employee community,TRUE,FALSE
Standard,1004057478575861760,TwitterOneTeam,Twitter #OneTeam,Jun 2018,TwitterOneTeam,Internal event,FALSE,TRUE
Standard,1065249714214457345,TwitterSpaces,Spaces,Nov 2018,TwitterSpaces,Live audio meetings,TRUE,FALSE
Standard,1168976680867762177,TwitterAble,Twitter Able,Sep 2019,TwitterAble,Disability Twitter,TRUE,FALSE
